"Fuente","Titulo","Año","Abstract","Palabras_clave","Fecha_busqueda"
"Google Scholar","Dental postoperative pain management in children","2002","… pain for the child. By being familiar with the duration of the local anesthetic, the dentist can 
… the parent to administer any analgesics before loss of local anesthesia-induced analgesia. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","Comprehensive dental care for children with rampant caries under general anaesthesia","2001","… anaesthesia but for nondental reasons. For three children it was their second general anaesthetic for dental … In almost 40% of the children pain or abscess formation was present at the …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","[HTML][HTML] Comparative analysis of local anesthetic techniques for pain Management in Pediatric Dental Procedures: a randomized clinical trial","2024","… anesthesia involves the direct injection of the anesthetic agent into the bone near the dental 
treatment site, allowing for profound anesthesia… the different local anesthetic techniques, …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","[HTML][HTML] Post-operative pain and use of analgesic agents in children following intrasulcular anaesthesia and various operative procedures","2007","… Long post-operative pain has been associated with intraligamental anaesthesia … the local anaesthetic solution is delivered to a similar area as the high pressure intraligamental injection …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","Effect of intraoperative analgesia on children's pain perception during recovery after painful dental procedures performed under general anaesthesia","2015","… The aim of this study was to investigate the possible effect of intraoperative analgesia, … pain perception in children undergoing painful dental procedures under general anaesthesia. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","[HTML][HTML] Effectiveness of two topical anaesthetic agents used along with audio visual aids in paediatric dental patients","2017","… in reducing the pain on needle insertion during local anaesthesia … , children requiring local anaesthesia for the dental treatment … anaesthesia for dental treatment with no previous dental …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","Morbidity following dental treatment of children under intubation general anaesthesia in a day‐stay unit","2004","… morbidity of a child undergoing dental general anaesthetic (GA) … of morbidity experienced 
by healthy children following dental GA. … In conclusion, pain following dental GA was the most …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","[HTML][HTML] Comparison of the pain perception in children using comfort control syringe and a conventional injection technique during pediatric dental procedures","2012","… administration of local anesthesia; the … of anesthetic injection resulted in significantly less pain perception when compared with the same children who experienced a traditional injection …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","The effect of local anesthetic on quality of recovery characteristics following dental rehabilitation under general anesthesia in children","2009","… local anesthetic has no beneficial effect on pain behaviors postoperatively following 
comprehensive pediatric dentistry under general anesthesia. … use of local anesthetics during …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","[PDF][PDF] A pain perception comparison of intraoral dental anesthesia with 26 and 30 gauge needles in 6-12-year-old children","2014","… children.[4] To the best of knowledge, less studies on the influence of needle gauge in 
perception of pain during local dental anesthetic injection had been conducted on children. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:31.66424"
"Google Scholar","Assessment of early postoperative pain and haemorrhage in young children undergoing dental extractions under general anaesthesia","2007","… dental extractions under general anaesthesia. There is a considerable body of research about 
the use of local anaesthetic … use of local anaesthetic in addition to general anaesthesia in …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Anaesthetic efficacy of articaine versus lidocaine in children's dentistry: a systematic review and meta‐analysis","2018","… -reported pain between articaine and lidocaine … lidocaine injections following treatment in paediatric patients (RR = 1.10, P-value = 0.863). Yet, patients reported significantly less pain …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","[HTML][HTML] Effect of vibration during local anesthesia administration on pain, anxiety, and behavior of pediatric patients aged 6–11 years: a crossover split-mouth study","2019","… of injection, topical anesthetic spray was applied at the injection site and local anesthesia 
was … of its kind used in the present study for alleviating pain in children during dental injection. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Comparison of two computerised anaesthesia delivery systems: pain and pain-related behaviour in children during a dental injection","2013","… in pain and distress response of the child when using two different computer-controlled local 
… One ® and the WAND ® , and whether this was influenced by the anxiety level of the child. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","[HTML][HTML] Different aspects of general anesthesia in pediatric dentistry: a review","2016","… anesthesia induced by halogenated volatile anesthetics is … leading dental practitioner to 
prefer intraoperative local anesthetic (… to ensure that the child received effective pain control (9). …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Postoperative pain and other sequelae of dental rehabilitations performed on children under general anesthesia","2008","… The sedative effect of the general anesthetic and the selective use of postoperative analgesics 
in … Prilocaine infiltration as postoperative analgesia for children having dental extractions …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Pain perception: computerized versus traditional local anesthesia in pediatric patients","2015","… to reduce the pain related to the local anesthetic injection. Study … and compare pain 
perception rates in pediatric patients with … of anaesthetic flow rate delivered by the Wand local …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","[HTML][HTML] Postoperative pain of pediatric patients undergoing dental treatment under general anesthesia visiting a general hospital: a cross-sectional study","2023","… local anesthesia, which can lead to increased pain … pain during local anesthesia in pediatric 
patients, including distraction techniques, topical anesthetics, and buffering of the anesthetic …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Efficacy of vibrotactile device DentalVibe in reducing injection pain and anxiety during local anaesthesia in paediatric dental patients: a study protocol for a …","2019","… a DV-assisted local anaesthetic injection prior to extraction of … consists of conventional anaesthetic injection prior to … pain associated with injection of local anesthesia in children. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"Google Scholar","Dental electro‐anaesthesia in children: a pilot study","1996","… pain they had experienced. Eighteen (27%) of the study group required injection of local anaesthetic … The study group had significantly higher pain scores than the control group. It was …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:33.232209"
"PubMed","Melanocytic neuroectodermal tumor of infancy: A plethora of airway nightmares!","2025 Oct-Dec",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Evaluation of local anaesthesia techniques preferred by paediatric dentists in pulpal procedures for mandibular primary molars.","2025 Oct 29",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Is Digital Anesthesia a Viable Alternative for Pain and Anxiety Control in Pediatric Dentistry?","2025 Oct 25",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Global, regional, and national sepsis incidence and mortality, 1990-2021: a systematic analysis.","2025 Oct 21",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Evaluating the Impact of a Smartphone Dental Application vs a Kaleidoscope on Mitigating Childhood Dental Anxiety during the Administration of Local Anesthesia.","2025 Sep",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Evaluating Pain Response and Clinical Efficacy of an Articaine Mucoadhesive Patch among 6-12-year-old Children during Local Anesthetic Injection and Subgingival Tooth Preparation: A Double-blind Nonrandomized Clinical Trial.","2025 Sep",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Evaluating the impact of camouflaged and insulin syringes with and without counter-stimulation on anxiety and behavior in children during administration of local anesthesia.","2025 Oct",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Comparative evaluation of two behavior guidance techniques in reducing pain perception and anxiety during local anesthesia administration in children: a randomized clinical trial.","2025 Oct",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Global burden of 292 causes of death in 204 countries and territories and 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.","2025 Oct 18",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Global age-sex-specific all-cause mortality and life expectancy estimates for 204 countries and territories and 660 subnational locations, 1950-2023: a demographic analysis for the Global Burden of Disease Study 2023.","2025 Oct 18",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.","2025 Oct 18",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Comparative Evaluation of Pain Control Using 4% Articaine Buccal Infiltration and 2% Lignocaine Inferior Alveolar Nerve Block for Pulpectomy in Primary Mandibular Second Molars in the Children of Age-group 6-10 Years: A Split-mouth Randomized Controlled Clinical Trial.","2025 May",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Effect of immersive virtual reality on pain in different dental procedures in children: a randomized controlled clinical trial.","2025",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Comparing Pain and Anxiety Levels during Local Anesthesia Administration Using Intra- and Extraoral Vibratory Systems.","2025 Jul",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Comparative evaluation of 3% plain mepivacaine and 2% lignocaine with 1:100,000 adrenaline in the pediatric population: A double-blind, randomized controlled trial.","2025 Jul 1",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Author Correction: Protectin DX increases alveolar fluid clearance in rats with lipopolysaccharide-induced acute lung injury.","2025 Sep",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","The global, regional, and national burden of cancer, 1990-2023, with forecasts to 2050: a systematic analysis for the Global Burden of Disease Study 2023.","2025 Oct 11",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Global, Regional, and National Burden of Cardiovascular Diseases and Risk Factors in 204 Countries and Territories, 1990-2023.","2025 Sep 24",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","What Factors Affect Safe Bedside Extubation After Mandibular Distraction?","2025 Sep 24",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Synaptic Dysfunction in the Anterior Cingulate Cortex Underlies Pain-Anxiety Comorbidity in a Mandibular Asymmetry Mouse Model.","2025 Sep 24",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Comparative Evaluation of Two Active Distraction Techniques during Intraoral Local Anesthesia Administration among 3-6-year-old Children: A Randomized Controlled Trial.","2025 Aug",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Effectiveness of topical ajwain oil in reducing pain during local anaesthesia administration in paediatric dental patients: A randomized controlled trial.","2025 Nov-Dec",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Lavender-Neroli Aromatherapy for Reducing Dental Anxiety and Pain in Children During Anesthesia: A Two-Arm Randomized Controlled Trial.","2025 Sep 1",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Effect of Sweet Aromatherapy on the Injection Pain of Infiltration Anesthesia for Primary Maxillary Molars in Children: A Randomized Double-Blind Controlled Clinical Trial.","2025 Sep 18",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","New frontiers in radiologic interpretation: evaluating the effectiveness of large language models in pneumothorax diagnosis.","2025",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Self-reported pain after buccal infiltration of articaine vs buccal and palatal infiltration of lidocaine for maxillary primary molar extractions: A noninferiority randomized clinical trial.","2025 Nov",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
"PubMed","Effect of Thermomechanical Stimulation on Pain During IANB Injections.","2025 Sep 9",NA,"(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:56.450579"
